movie	labels
175	[0, 2, 1, 1, 1, 2, 10, 2, 0, 3, 1, 1, 3, 5, 1, 0, 3, 0, 2, 0, 2, 14]
176	[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 2]
177	[1, 3, 1, 3, 1, 2, 4, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 4]
178	[3, 2, 2, 3, 2, 3, 6, 1, 0, 2, 5, 1, 0, 1, 0, 4, 2, 0, 2, 0, 0, 1]
179	[0, 3, 0, 1, 1, 0, 3, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1]
180	[0, 0, 2, 2, 0, 0, 1, 1, 0, 0, 0, 0, 1, 4, 0, 0, 0, 0, 1, 0, 2, 0]
181	[0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]
182	[2, 6, 5, 1, 0, 0, 7, 1, 1, 3, 2, 3, 0, 1, 1, 0, 4, 0, 3, 1, 0, 15]
183	[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 7]
184	[0, 6, 5, 4, 5, 5, 2, 4, 1, 1, 2, 2, 2, 4, 1, 1, 1, 1, 3, 0, 1, 7]
185	[0, 0, 1, 0, 1, 7, 0, 5, 0, 0, 0, 1, 3, 1, 0, 1, 0, 9, 3, 0, 2, 2]
186	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
187	[1, 1, 3, 2, 3, 2, 10, 4, 0, 1, 0, 2, 3, 2, 0, 0, 2, 0, 4, 0, 1, 2]
188	[4, 5, 3, 6, 12, 6, 6, 6, 0, 4, 3, 1, 1, 4, 3, 3, 4, 0, 0, 2, 2, 15]
189	[0, 1, 2, 2, 0, 2, 0, 3, 0, 1, 2, 0, 1, 1, 0, 0, 2, 0, 1, 0, 1, 0]
190	[0, 3, 3, 4, 3, 5, 4, 9, 1, 2, 4, 2, 5, 1, 1, 2, 5, 0, 2, 0, 0, 3]
191	[0, 4, 2, 2, 1, 0, 4, 3, 0, 0, 0, 1, 3, 0, 0, 0, 1, 0, 0, 0, 3, 1]
192	[0, 2, 2, 4, 3, 0, 2, 6, 0, 0, 2, 2, 2, 4, 0, 0, 2, 0, 3, 1, 2, 3]
193	[0, 4, 0, 0, 0, 0, 12, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 12]
194	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 0, 1, 0, 2, 0, 0, 2]
195	[0, 3, 1, 2, 0, 1, 4, 3, 1, 2, 2, 3, 4, 5, 1, 0, 3, 0, 5, 0, 5, 20]
196	[0, 2, 0, 0, 0, 0, 3, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 6]
197	[1, 1, 2, 0, 0, 0, 2, 0, 1, 2, 0, 2, 0, 0, 0, 0, 1, 1, 1, 0, 0, 2]
198	[0, 0, 5, 2, 0, 4, 0, 2, 1, 1, 2, 0, 1, 2, 1, 1, 1, 0, 1, 0, 1, 0]
199	[0, 0, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0]
200	[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0]
201	[0, 0, 2, 1, 2, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
