index	actor
330	('스티븐 시걸', 'Steven Seagal')
331	('은서우', '')
332	('기주봉', '')
333	('임호', '')
334	('임혁필', '')
335	('정주환', '')
336	('나문희', '')
337	('이제훈', '')
338	('박철민', '')
339	('염혜란', '')
340	('이상희', '')
341	('이지훈', '')
342	('정연주', '')
343	('김소진', 'So Jin Kim')
344	('강하늘', '')
345	('박정민', '')
346	('김인우', '')
347	('최홍일', '')
348	('김정팔', '')
349	('최희서', '')
350	('신윤주', '')
351	('성홍일', '')
352	('알 파치노', 'Al Pacino')
353	('크리스 오도넬', "Chris O'Donnell")
354	('제임스 레브혼', 'James Rebhorn')
355	('가브리엘 앤워', 'Gabrielle Anwar')
356	('필립 세이모어 호프만', 'Philip Seymour Hoffman')
357	('마동석', 'Don Lee')
358	('손석구', '')
359	('최귀화', '')
360	('박지환', '')
361	('허동원', '')
362	('하준', '')
363	('정재광', '')
364	('남문철', '')
365	('다니엘 래드클리프', 'Daniel Radcliffe')
366	('루퍼트 그린트', 'Rupert Grint')
367	('엠마 왓슨', 'Emma Watson')
368	('로비 콜트레인', 'Robbie Coltrane')
369	('앨런 릭먼', 'Alan Rickman')
370	('이안 하트', 'Ian Hart')
371	('톰 펠튼', 'Tom Felton')
372	('주성치', '')
373	('주인', 'Chu Yan')
374	('나가영', 'Law Kar-Ying')
375	('유진위', '')
376	('남결영', '')
377	('채소분', 'Cai Shao Fen')
378	('막문위', '')
379	('오맹달', '')
380	('캐서린 프레스콧', 'Kathryn Prescott')
381	('마그 헬젠버거', 'Marg Helgenberger')
382	('베티 길핀', 'Betty Gilpin')
383	('헨리', 'Henry Lau')
384	('애비 라이더 포트슨', 'Abby Ryder Fortson')
385	('이안 첸', 'Ian Chen')
386	('파드마 앙뚜', '')
387	('우르갼 릭젠', '')
388	('브래드 렌프로', 'Brad Renfro')
389	('다이애나 스카위드', 'Diana Scarwid')
390	('브루스 데이비슨', 'Bruce Davison')
391	('아나벨라 시오라', 'Annabella Sciorra')
392	('닉키 캣', 'Nicky Katt')
393	('에릭 이건', 'Aeryk Egan')
394	('레니 험프리', 'Renee Humphrey')
395	('마크 스트롱', 'Mark Strong')
396	('구구 바샤-로', 'Gugu Mbatha-Raw')
397	('알리슨 필', 'Alison Pill')
398	('마이클 스털버그', 'Michael Stuhlbarg')
399	('데이빗 윌슨 반스', 'David Wilson Barnes')
400	('지니퍼 굿윈', 'Ginnifer Goodwin')
401	('제이슨 베이트먼', 'Jason Bateman')
402	('샤키라', 'Shakira')
403	('이드리스 엘바', 'Idris Elba')
404	('알란 터딕', 'Alan Tudyk')
405	('제니 슬레이트', 'Jenny Slate')
406	('보니 헌트', 'Bonnie Hunt')
407	('스텔란 스카스가드', 'Stellan Skarsgard')
408	('미니 드라이버', 'Minnie Driver')
409	('짐 캐리', 'Jim Carrey')
410	('로라 리니', 'Laura Linney')
411	('노아 엠머리히', 'Noah Emmerich')
412	('나타샤 맥켈혼', 'Natascha McElhone')
413	('홀랜드 테일러', 'Holland Taylor')
414	('브라이언 델리트', 'Brian Delate')
415	('주니어 N.T.R.', 'Junior N.T.R.')
416	('람 차란 테자', 'Ram Charan Teja')
417	('알리아 바트', 'Alia Bhatt')
418	('아제이 데브건', 'Ajay Devgn')
419	('사무시라카니', 'Samuthirakani')
420	('앨리슨 두디', 'Alison Doody')
421	('레이 스티븐슨', 'Ray Stevenson')
422	('마드하반', 'Madhavan')
423	('셔먼 조쉬', 'Sharman Joshi')
424	('카리나 카푸르', 'Kareena Kapoor')
425	('보만 이라니', 'Boman Irani')
426	('오미 베이디아', 'Omi Vaidya')
427	('자베드 자프리', 'Javed Jaffrey')
428	('라지브 라빈드라나단', 'Rajeev Ravindranathan')
429	('케이트 블란쳇', 'Cate Blanchett')
430	('다케우치 유코', 'Takeuchi Yuko')
431	('나카무라 시도', 'Shido Nakamura')
432	('다케이 아카시', 'Akashi Takei')
433	('히라오카 유타', 'Yuta Hiraoka')
434	('오오츠카 치히로', 'Chihiro Otsuka')
435	('아사리 요스케', 'Yosuke Asari')
436	('이치카와 미카코', 'Ichikawa Mikako')
437	('코히나타 후미요', 'Kohinata Fumiyo')
438	('에디 브랙큰', 'Eddie Bracken')
439	('키에란 컬킨', 'Kieran Culkin')
440	('마츠다 요지', 'Yoji Matsuda')
441	('미와 아키히로', 'Akihiro Miwa')
442	('이시다 유리코', 'Yuriko Ishida')
443	('다나카 유코', 'Yuko Tanaka')
444	('코바야시 카오루', 'Kaoru Kobayashi')
445	('니시무라 마사히코', 'Masahiko Nishimura')
446	('카미죠 츠네히코', 'Tsunehiko Kamijo')
447	('시마모토 스미', 'Sumi Shimamoto')
448	('마이클 빈', 'Michael Biehn')
449	('폴 레이저', 'Paul Reiser')
450	('랜스 헨릭슨', 'Lance Henriksen')
451	('캐리 헨', 'Carrie Henn')
452	('빌 팩스톤', 'Bill Paxton')
453	('윌리엄 홉', 'William Hope')
454	('리코 로스', 'Ricco Ross')
455	('다실 사페리', 'Darsheel Safary')
456	('비핀 샤르마', 'Vipin Sharma')
457	('티스카 쵸프라', 'Tisca Chopra')
458	('타나이 크헤다', 'Tanay Chheda')
459	('M.K. 라이나', 'M.K. Raina')
460	('아비쉑 밧찬', 'Abhishek Bachchan')
461	('산커 사치데브', 'Shankar Sachdev')
462	('설경구', '')
463	('변요한', '')
464	('이정은', 'LEE Jung-eun')
465	('민도희', '')
466	('강기영', '')
467	('숀 코네리', 'Sean Connery')
468	('니콜라스 케이지', 'Nicolas Cage')
469	('윌리엄 포사이스', 'William Forsythe')
470	('데이빗 모스', 'David Morse')
471	('존 스펜서', 'John Spencer')
472	('존 C. 맥긴리', 'John C. McGinley')
473	('박영남', '')
474	('이인성', '')
475	('정영숙', '')
476	('조한철', 'Cho Han-Cheul')
477	('배해선', '')
478	('이예원', '')
479	('여무영', '')
480	('김기천', '')
481	('조아인', '')
482	('피어스 브로스넌', 'Pierce Brosnan')
483	('하비 피어스타인', 'Harvey Fierstein')
484	('폴리 홀리데이', 'Polly Holliday')
485	('이금희', '')
486	('이태석', '')
487	('히스 레저', 'Heath Ledger')
488	('아론 에크하트', 'Aaron Eckhart')
489	('마이클 케인', 'Michael Caine')
490	('매기 질렌할', 'Maggie Gyllenhaal')
491	('모니크 커넨', 'Monique Curnen')
492	('케이코', 'Keiko')
493	('제이슨 제임스 리처', 'Jason James Richter')
494	('로리 페티', 'Lori Petty')
495	('제인 앳킨슨', 'Jayne Atkinson')
496	('오거스트 쉘렌버그', 'August Schellenberg')
497	('마이클 매드슨', 'Michael Madsen')
498	('마이클 아이언사이드', 'Michael Ironside')
